"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8528","creating a demo test","chromium","Tue Aug 12 00:53:48 IST 2025","failed","Tue Aug 12 00:53:57 IST 2025","","demoTest.spec.js","",""
"","3169","Verify that user is able to verify the monitor products list.","chromium","Wed Aug 13 00:29:22 IST 2025","passed","Wed Aug 13 00:29:26 IST 2025","","monitorTests.spec.js","",""
"","9741","Verify that user is able to verify the mobile products list.","webkit","Wed Aug 13 00:30:35 IST 2025","passed","Wed Aug 13 00:30:45 IST 2025","","mobileTests.spec.js","",""
"","16504","Verify that user is able to add the monitor product into cart.","firefox","Wed Aug 13 00:30:03 IST 2025","failed","Wed Aug 13 00:30:19 IST 2025","","monitorTests.spec.js","",""
"","8272","Verify that user is able to add the mobile product into cart.","chromium","Wed Aug 13 00:29:22 IST 2025","passed","Wed Aug 13 00:29:31 IST 2025","","mobileTests.spec.js","",""
"","10358","Verify that user is able to verify the laptop products list.","chromium","Wed Aug 13 00:29:11 IST 2025","passed","Wed Aug 13 00:29:21 IST 2025","","laptopTests.spec.js","",""
"","7578","Verify that user is able to verify the monitor products list.","webkit","Wed Aug 13 00:30:31 IST 2025","passed","Wed Aug 13 00:30:39 IST 2025","","monitorTests.spec.js","",""
"","11376","Verify that user is able to login to demoblaze demo website.","chromium","Wed Aug 13 00:29:11 IST 2025","passed","Wed Aug 13 00:29:22 IST 2025","","loginPage.spec.js","",""
"","17869","Verify that user is able to add the laptop product into cart.","firefox","Wed Aug 13 00:29:33 IST 2025","failed","Wed Aug 13 00:29:51 IST 2025","","laptopTests.spec.js","",""
"","6706","Verify that user is able to verify the mobile list.","chromium","Tue Aug 12 16:01:43 IST 2025","passed","Tue Aug 12 16:01:50 IST 2025","","mobileTests.spec.js","",""
"","8304","Verify that user is able to verify the monitor products list.","firefox","Wed Aug 13 00:30:01 IST 2025","passed","Wed Aug 13 00:30:09 IST 2025","","monitorTests.spec.js","",""
"","10858","Verify that user is able to verify the mobile products list.","chromium","Wed Aug 13 00:29:11 IST 2025","passed","Wed Aug 13 00:29:21 IST 2025","","mobileTests.spec.js","",""
"","16774","Verify that user is able to add the mobile product into cart.","firefox","Wed Aug 13 00:29:47 IST 2025","failed","Wed Aug 13 00:30:04 IST 2025","","mobileTests.spec.js","",""
"","10278","Verify that user is able to verify the laptop products list.","firefox","Wed Aug 13 00:29:33 IST 2025","passed","Wed Aug 13 00:29:43 IST 2025","","laptopTests.spec.js","",""
"","5857","Log in to the demoblaze demo website","chromium","Tue Aug 12 00:01:50 IST 2025","passed","Tue Aug 12 00:01:56 IST 2025","","loginPage.spec.js","",""
"","15397","Verify that user is able to add the mobile product into cart.","webkit","Wed Aug 13 00:30:27 IST 2025","passed","Wed Aug 13 00:30:43 IST 2025","","mobileTests.spec.js","",""
"","16460","Verify that user is able to add the laptop product into cart.","webkit","Wed Aug 13 00:30:22 IST 2025","passed","Wed Aug 13 00:30:39 IST 2025","","laptopTests.spec.js","",""
"","14391","Verify that user is able to add the laptop product into cart.","chromium","Wed Aug 13 00:29:10 IST 2025","passed","Wed Aug 13 00:29:25 IST 2025","","laptopTests.spec.js","",""
"","13886","Verify that user is able to verify the mobile products list.","firefox","Wed Aug 13 00:29:39 IST 2025","passed","Wed Aug 13 00:29:53 IST 2025","","mobileTests.spec.js","",""
"","9066","Verify that user is able to add the monitor product into cart.","chromium","Wed Aug 13 00:29:23 IST 2025","passed","Wed Aug 13 00:29:32 IST 2025","","monitorTests.spec.js","",""
"","16627","Verify that user is able to login to demoblaze demo website.","firefox","Wed Aug 13 00:29:37 IST 2025","passed","Wed Aug 13 00:29:53 IST 2025","","loginPage.spec.js","",""
"","13574","Verify that user is able to login to demoblaze demo website.","webkit","Wed Aug 13 00:30:16 IST 2025","passed","Wed Aug 13 00:30:29 IST 2025","","loginPage.spec.js","",""
"","12980","Verify that user is able to add the monitor product into cart.","webkit","Wed Aug 13 00:30:39 IST 2025","passed","Wed Aug 13 00:30:52 IST 2025","","monitorTests.spec.js","",""
"","9685","Verify that user is able to verify the laptop products list.","webkit","Wed Aug 13 00:30:15 IST 2025","passed","Wed Aug 13 00:30:25 IST 2025","","laptopTests.spec.js","",""
